Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.477",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35769,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.477",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35770,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.480",400,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35771,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.560",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,35785,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:24.310",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35834,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:24.603",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,35847,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:27.550",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,36164,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:27.550",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,36165,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:41.740",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,37223,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:43.220",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,37367,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:47.953",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,37899,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:51.890",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,38101,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:51.927",100,23.96,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,38110,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:52.150",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,38165,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:37:37.170",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,41029,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:37:47.570",400,23.93,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,41558,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:37:47.570",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,41559,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:37:53.380",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,42035,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:37:53.887",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,42071,0,Success,,Cookie,0.0312,
